neighborhood,year,median_asking_rent,yoy_pct
Financial District South (10004),2021,3347,3.2
Financial District South (10004),2022,4124,23.2
Financial District South (10004),2023,4206,2.0
Financial District South (10004),2024,4403,4.7
Financial District South (10004),2025,4624,5.0
Battery Park City (10280),2010,,
Battery Park City (10280),2011,,
Battery Park City (10280),2012,,
Battery Park City (10280),2013,,
Battery Park City (10280),2014,,
Battery Park City (10280),2015,,
Battery Park City (10280),2016,3485,
Battery Park City (10280),2017,3449,-1.0
Battery Park City (10280),2018,3546,2.8
Battery Park City (10280),2019,3712,4.7
Battery Park City (10280),2020,3496,-5.8
Battery Park City (10280),2021,3666,4.9
Battery Park City (10280),2022,4314,17.7
Battery Park City (10280),2023,4498,4.3
Battery Park City (10280),2024,4633,3.0
Battery Park City (10280),2025,4928,6.4
Battery Park City North (10282),2010,,
Battery Park City North (10282),2011,,
Battery Park City North (10282),2012,,
Battery Park City North (10282),2013,,
Battery Park City North (10282),2014,,
Battery Park City North (10282),2015,,
Battery Park City North (10282),2016,,
Battery Park City North (10282),2017,,
Battery Park City North (10282),2018,,
Battery Park City North (10282),2019,,
Battery Park City North (10282),2020,,
Battery Park City North (10282),2021,5526,
Battery Park City North (10282),2022,6129,10.9
Battery Park City North (10282),2023,6531,6.6
Battery Park City North (10282),2024,6832,4.6
Battery Park City North (10282),2025,7275,6.5
